id,tipo,estado,capacidad,facultad,programa,fecha_solicitud,fecha_asignacion
S001,salón,asignada,40,Facultad de Ciencias Sociales,Psicología,2025-04-07T17:28:32.036977,2025-04-07T17:28:32.036977
S002,salón,asignada,40,Facultad de Ciencias Sociales,Psicología,2025-04-07T17:28:32.036977,2025-04-07T17:28:32.036977
S003,salón,asignada,40,Facultad de Ciencias Sociales,Psicología,2025-04-07T17:28:32.036977,2025-04-07T17:28:32.036977
S004,salón,asignada,40,Facultad de Ciencias Sociales,Psicología,2025-04-07T17:28:32.036977,2025-04-07T17:28:32.036977
S005,salón,asignada,40,Facultad de Ciencias Sociales,Psicología,2025-04-07T17:28:32.036977,2025-04-07T17:28:32.036977
S006,salón,asignada,40,Facultad de Ciencias Sociales,Psicología,2025-04-07T17:28:32.036977,2025-04-07T17:28:32.036977
S007,salón,asignada,40,Facultad de Ciencias Sociales,Psicología,2025-04-07T17:28:32.036977,2025-04-07T17:28:32.036977
S008,salón,asignada,40,Facultad de Ciencias Sociales,Psicología,2025-04-07T17:28:32.036977,2025-04-07T17:28:32.036977
S009,salón,asignada,40,Facultad de Ciencias Sociales,Psicología,2025-04-07T17:28:32.036977,2025-04-07T17:28:32.036977
S010,salón,asignada,40,Facultad de Ciencias Sociales,Psicología,2025-04-07T17:28:32.036977,2025-04-07T17:28:32.036977
S011,salón,asignada,40,Facultad de Ciencias Sociales,Sociología,2025-04-07T17:28:32.043755,2025-04-07T17:28:32.043755
S012,salón,asignada,40,Facultad de Ciencias Sociales,Sociología,2025-04-07T17:28:32.043755,2025-04-07T17:28:32.043755
S013,salón,asignada,40,Facultad de Ciencias Sociales,Sociología,2025-04-07T17:28:32.043755,2025-04-07T17:28:32.043755
S014,salón,asignada,40,Facultad de Ciencias Sociales,Sociología,2025-04-07T17:28:32.043755,2025-04-07T17:28:32.043755
S015,salón,asignada,40,Facultad de Ciencias Sociales,Sociología,2025-04-07T17:28:32.043755,2025-04-07T17:28:32.043755
S016,salón,asignada,40,Facultad de Ciencias Sociales,Sociología,2025-04-07T17:28:32.043755,2025-04-07T17:28:32.043755
S017,salón,asignada,40,Facultad de Ciencias Sociales,Sociología,2025-04-07T17:28:32.043755,2025-04-07T17:28:32.043755
S018,salón,asignada,40,Facultad de Ciencias Sociales,Sociología,2025-04-07T17:28:32.043755,2025-04-07T17:28:32.043755
S019,salón,asignada,40,Facultad de Ciencias Sociales,Sociología,2025-04-07T17:28:32.043755,2025-04-07T17:28:32.043755
S020,salón,asignada,40,Facultad de Ciencias Sociales,Sociología,2025-04-07T17:28:32.043755,2025-04-07T17:28:32.043755
S021,salón,asignada,40,Facultad de Ciencias Sociales,Trabajo Social,2025-04-07T17:28:32.048561,2025-04-07T17:28:32.048561
S022,salón,asignada,40,Facultad de Ciencias Sociales,Trabajo Social,2025-04-07T17:28:32.048561,2025-04-07T17:28:32.048561
